Prompt,,Student Response,,I/B/C,,Thesis,,Topic,,Coherence,,Transition,,Main Idea,,Supporting Idea,,Style,,Usage,,Critique,//
"Plants can provide food, shelter, clothing, or medicine. What is one kind of plant that is important to you or the people in your country? Use specific reasons and details to explain your choice.",::,"<IN><TS>There may be many plants that is important in every country. Although there are a lot of essential plants in Korea, I think a white cabbage is the most critical plant to the people in my country because of some reasons; a white cabbage is used for making Kimchi, a Korean tranditional food and curing a cold and flu, in Korea.</TS></IN>

<BO1><MI1>A white cabbage is the main part of making a Korean conventional food; Kimchi.</MI1> <SI1>Kimchi has been eaten by Korean people for a long time and actually is a basic side dish in Korea. <TR>In fact</TR>, all most Korean family has eaten Kimchi even today. <TR>Besides</TR>, now Kimchi has been exported to other countries such as Japan and China, and make an amazing profit to my country. <EX><TR>To illustrate</TR>, according to the Korea Trade Institution, Kimchi takes 50 percent of all export in agriculture.</EX> <TR>In this respect</TR>, a white cabbage is important plant to my country.</SI1></BO1>

<BO2><MI2><TR>In addition</TR>, a white cabbage is used for folk remedy in Korea. </MI2> <SI2>An old book about folk remedy in Korea, Myungsimbogam, represents that a white cabbage is good for curing a cold and flu. <TR>Actually</TR>, it is common method to cure a cold or flu by by boiling a white cabbage with water in Korea. <EX><TR>As an example</TR>, when I was a high school student I couldn't to see a doctor due to the lack of time. In Korea, high school student must study hard to enter the university, thus doesn't have time to be prescribed some drug. At that time, my mother boiled a white cabbage with water and have me drink it. Surprisingly, I was able to be good in shape because of the effect of a white cabbage.</EX> <TR>Thus</TR>, I believe that a white cabbage is essential plant being used for healing.</SI2></BO2>

<CO><TR>Consequently</TR>, I strongly believe that a white cabbage is critical plant in my country in that people make Kimchi, a long-historical and fundamental food in Korea using a white cabbage as well as use it for remedy of a cold and flu.</CO>",::,5,::,5,::,4,::,4,::,4,::,4,::,4,::,4,::,3,::,This is an above average quality essay. The structure and balance of the essay between its parts move the essay from the introduction thru to the conclusion. The thesis statement is complete with a position and a good preview of the main points as well as being strong.  There is an adequate number of transitions in this essay though not optimal. Either too many or too few transitions can get in the way or otherwise detract from the reading of this essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.,//
"Do you agree or disagree with the following statement? With the help of technology, students nowadays can learn more information and learn it more quickly. Use specific reasons and examples to support your answer.",::,"<IN><TS>According to the development of technology, students can take lesson more information and learn it faster. Some people disagree with this situation but I agree because it can share technological information from Internet and learn more easily through TV and radio.</TS></IN>

<BO1><MI1><TR>To begin with</TR>, Internet can make share people many technologies.</MI1> <SI1>If I want to know scientific technology or semiconductor, I can know instantly it through Internet search. Even I can know much information on the other side of the globe and ask though e-mail. <EX><TR>For example</TR>, when I was high school student I had to take assignment with a large encyclopedia or in a library. It took a long time and couldn’t give correct information.</EX> <TR>In addition</TR>, with limited time I couldn’t search enough information. <TR>However</TR>, the more developed is Internet, the easier is searching information and it can be used anytime and anywhere. As a result many students reduced their time and can search correct information.</SI1></BO1>

<BO2><MI2>Another reason, TV and radio can help students study easily.</MI2> <SI2><TR>As broadcast is various and useful programs are established, we can increase chance indirect experience. In addition, as a professional program is made we can study with a small amount of money. <EX><TR>For example</TR>, when I was elementary school I liked insect. <TR>However</TR>, I didn’t have chance to meet an insect because I lived in Seoul, metropolitan and capital of Korea. I often saw “World of insect” on TV and it filled my curiosity and was interesting.</EX> <TR>In addition</TR>, people in Seoul have very high concerns about education. <TR>Thus</TR> annual private educational expanses are spent much. If professional education program is made, not only reduce would private educational expanse but also people would increase chance studying a second language such as English and French.</SI2></BO2>

<CO><TR>In conclusion</TR>, with the development of technology, today students can learn more information and learn it faster. <TR>Also</TR>, Internet can make them search on the other side of the globe, and TV and radio can help them easy to study with less spending. <TR>So</TR> I agree this statement.</CO>",::,5,::,3,::,4,::,4,::,3,::,4,::,4,::,4,::,3,::,"This is an above average quality essay. The is no real structure or balance to move the essay from one portion of the essay to the next. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.",//
Some people think that they can learn better by themselves than with a teacher. Others think that it is always better to have a teacher. Which do you prefer? Use specific reasons to develop your essay.,::,"<IN><TS>During my school days, I often studied myself about physics, mathematics, and so on. Some people insist that students should have teachers and be learned by a teacher better. Others think students study themselves somewhat. I prefer to second advocacy than first it.</TS></IN>
 
<BO1><MI1><TR>First of all</TR>, teachers couldn't adjust to all students.</MI1> <SI1>Some students need teaching more, other students need considerable expertise in a class. <EX><TR>For instance</TR>, in a class, if a student needs more explanation about a easy problem, and if another student asks a more advanced problem, what will a teacher do? A teacher wants to teach all students' curiosities, however, the time providing a teacher will not be infinite. <TR>Thus</TR>, students who want to learn more things about their questions study themselves during free times.</SI1></BO1>

<BO2><MI2><TR>Second<TR>, students don't develop their characteristics.</MI2> <SI2>In a uniform class, all students learn and act the same things. Though a student wants to act different ways, the student has to allow a teacher's teaching. I heard that some children living in the U.S don't go to school. Instead, they learn something to want at their home. Of famous scientists, some scientists, including Einstein, Edison and so on, didn't go to elementary or middle school. <TR>However</TR>, they could grow up so nice.</SI2></BO2>

<CO><TR>In short</TR>, I disagree with the fact that students always have a teacher. This is because they don't develop their characteristics well and learn better about extra courses. <TR>However</TR>, I don't think that students must not have a teacher. I believe that one of the best ways to improve educational environments is that two ways are mixed.</CO>",::,4,::,2,::,4,::,4,::,3,::,4,::,4,::,4,::,3,::,This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis is fragmented and separated throughout the introduction and does not constitute a statement. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.,//
Your school has enough money to purchase either computers for students or books for the library. Which should your school choose to buy computers or books? Use specific reasons and examples to support your recommendation.,::,"<IN><TS>Given the chance that my school should choose to buy computers or books, some people choose books because they can increase thinking ability. In my opinion, however, I choose computers because they can be basic for education. In addition they can be used to find for searching enormous information.</TS></IN>

<BO1><MI1><TR>To begin with</TR>, these days computers are basic in job as well as education.</MI1> <SI1>Many schools are used to education though computers and it is more efficient for students. <EX><TR>According to the Josun-Ilbo</TR>, the best-known newspaper in Korean, nowadays elementary school must practice image education for students to elevate ability.</EX> Students also like these method much more because it is easy and interesting. <EX><TR>For example</TR>, my son who is elementary school doesn’t like education of school.</EX> He learned image education though computer, and then began to have an interest on school education. <TR>Moreover</TR> computer’s skill is foundation to business. Most of companies make file using computer and give and take e-mail and files. <TR>Thus</TR> I recommend computers.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, people can search information though internet.</MI2> <SI2>Internet includes more information than books do. <TR>Therefore</TR> when you want some information you are able to find them though internet. <EX><TR>For example</TR>, once I must make a paper about M&A. <TR>At first</TR>, I was very embarrassed because I did not know economics which was not my major.</EX> <TR>However</TR> I could finish and won the praise of many people through computer.</SI2></BO2>

<CO><TR>In conclusion</TR>, if my school has enough money to purchase either computers or book my school should choose computers. The reason why I think like this is because not only can computers be standard in education and job, but they also can be used to search information.</CO>",::,4,::,2,::,4,::,4,::,4,::,4,::,4,::,4,::,3,::,This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis is fragmented and separated throughout the introduction and does not constitute a statement. There is an adequate number of transitions in this essay though not optimal. Either too many or too few transitions can get in the way or otherwise detract from the reading of this essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.,//
Do you agree or disagree with the following statement? : Boys and girls should attend separate school. Use specific reasons and examples to support your answer. ,::,"<IN><TS>Some schools usually teach only boys and girls under their regulations. These system has some advantages in enhancing the learning productivity, however, coed school should be recommended due to the following reasons.</TS></IN>

<BO1><MI1><TR>First</TR>, coeducational system can help the sound development of student's emotions.</MI1> <SI1>In the wake of studying together, boys could take naturally girls' emotional advantages. <EX><TR>According to some studies</TR>, children who are raised in the co-ed schools have shown less violent characteristics than the otherwise.</EX> Coeducation is necessary for the healthy growth of the students.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, students can recognize the other-sex friends better through the attending together.</MI2> <SI2>The half of all the humans are women for men and vice-versa. The education system which separates boys and girls would distort the conception of theirs over the human. Coeducation is required for the children when it is viewed of recognition development process.</SI2></BO2>

<BO3><MI3><TR>Finally</TR>, God created men and women who must live together.</MI3> <SI3>Men and women are given birth to respect and cooperate each other, not for the purpose of separating themselves. All the lives on this planet are getting along with one another regardless of the sex. Coeducation is appropriate for the will of God's creation.</SI3></BO3>

<CO>Boys and girls are distinguishable for the role of the human beings, however, not separable from each other. Coeducational system is more beneficial to the wellbeing and sound development of students than the another.</CO>",::,4,::,3,::,3,::,4,::,4,::,4,::,4,::,4,::,3,::,"This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There is an adequate number of transitions in this essay though not optimal. Either too many or too few transitions can get in the way or otherwise detract from the reading of this essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.",//
"Should governments spend more money on improving roads and highways, or should governments spend more money on improving public transportation (buses, trains, subways)? Why? Use specific reasons and details to develop your essay.",::,"<IN><TS>The choice is difficult whether governments should spend money improving either roads or public transportation. Personally, I agree to develop public transportation. When governments develop that, the air pollution of a city and rates of using natural resources are waned. Moreover, citizens' welfare is increased.</TS></IN>
 
<BO1><MI1><TR>First of all</TR>, if governments improve the quality of public transportation, like increasing buses, taxis, and subways, citizens feel more comfortable.</MI1> <SI1><TR>Especially</TR>, during rush hour, people aren't hustled by others and don't feel angry any more. <TR>Moreover</TR>, because of increasing public transportation, a city can earn more transportation fees than the past. <TR>So</TR>, a city makes an effort to develop citizens' welfare and qualities of a city. <TR>Thus</TR>, citizens feel more happy, comfortable, and refresh.</SI1></BO1>

<BO2><MI2><TR>Also<TR>, if governments increase the number of public transportation, people use them more than the past.</MI2> <SI2><TR>Therefore</TR>, in the present, one of the greatest social problems, the air pollution is decreased. <TR>In addition</TR>, another great social problem, deficiency of natural resources is solved automatically. If public transportation is more comfortable than the present, people won't often use their own cars. <TR>Thus</TR>, the air pollution is waned and rates of using natural resources are decreased, also.</SI2></BO2>
 
<CO><TR>To sum up</TR>, if governments improve public transportation, our lives in a city are more comfortable. We don't have any chance of being stressed by public transportation because of crowding in a bus and a subway. <TR>Moreover</TR>, environment will be cleaner than the present. <TR>Thus</TR>, we feel more comfortable.</CO>",::,4,::,2,::,4,::,4,::,1,::,4,::,3,::,4,::,3,::,This is a below average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis is fragmented and separated throughout the introduction and does not constitute a statement. There are no transitions in this essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There are  very few examples in this essay. The supporting points are still a bit vague and do not have sufficient strength to support the main points.  There were many word choice issues as well as errors in punctuation and grammar.,//
 Some famous athletes and entertainers earn millions of dollars every year. Do you think these people deserve such high salaries? Use specific reasons and examples to support your opinion.,::,"<IN><TS>There is an argument whether athletes and entertainers should earn such a huge amount of money. I am writing to say that they deserve it, with regard to their efforts and characteristics of their jobs.</TS></IN>

<BO1><MI1><TR>First of all</TR>, it is true that people living in the world have their unique talents.</MI1> <SI1><TR>However</TR>, the development of their abilities depends on how many efforts they make for a certain period, usually when in school. There must have been many distractions which made them confused, disturbed, or uncomfortable before they become successful. Yet, they have finally overcome difficult situations. I ,therefore, agree that they deserve high salaries ,because it is only fair that people should earn money as much as they dedicate.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, there are some disadvantages of being both athletes and entertainers.</MI2> <SI2>For athletes, it could be fatal if they get physical problems, such as backache, or obesity. There might be nothing to do with them. <TR>Therefore</TR>, with consideration of this they should earn money enough to be able to live, for the case that they lose their physical abilities. For entertainers, they are always under pressure, because people watch them wherever they go and whatever they do. As a result, they feel much more stressed than ordinary people. By this I mean, they also deserve earning more money than normal people, because they usually suffer from illnesses mentally.</SI2></BO2>

<CO><TR>For these reasons</TR>, I strongly believe that entertainers and athletes deserve a huge earning as they make greater efforts and could get physical or mental illnesses more easily than ordinary people.</CO>",::,3,::,2,::,4,::,4,::,3,::,3,::,3,::,4,::,3,::,This is a below average quality essay. There is minimal structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis is fragmented and separated throughout the introduction and does not constitute a statement. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are still a bit vague and do not have sufficient strength to support the thesis.  There are  very few examples in this essay. The supporting points are still a bit vague and do not have sufficient strength to support the main points.  There were many word choice issues as well as errors in punctuation and grammar.,//
"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and details to explain your answer.",::,"<IN><TS>There is important to meet a variety of people in my life. In the university life, we can also meet several people when we participate in club activity or have some classes. If we have a plan to live in the dormitory, we also have a chance to meet a new people unwillingly. In the dormitory life, I think more good point that we are assigned a new friend as these following reasons.</TS></IN>

<BO1><MI1><TR>Above all</TR>, we have a chance to meet a new friend.</MI1> <SI1>She may study another thing. She can be older or younger woman than me. If she comes from others country, she can show me different cultures and languages. When I met a new roommate at second grade, she was ready to go to study abroad. From her, I heard many things related to studying in USA. After then, I become to have a dream to go to new country as they can show me more lager world.</SI1></BO1>

<BO2><MI2><TR>Moreover</TR>, meeting with a variety of people make me flexible.</MI2> <SI2>As we know, no one has the same habits and interests. Sometimes, her behavior makes me angry and also I can make her inconvenient. My roommate and I have another life time, and so I used to go to room when she already sleep. Then she used to wake up for me. We sometimes battled for it. <TR>Of course</TR>, we tried to have a harmonious point to us.</SI2></BO2>

<CO><TR>In conclusion</TR>, a chance to meet a new roommate has some good part to us. It make us more flexible and to have a wide sight in the society. <TR>Therefore</TR> I would like to be assigned roommate by the university in order to meet new people.</CO>",::,4,::,3,::,4,::,4,::,3,::,4,::,3,::,4,::,3,::,"This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There are  very few examples in this essay. The supporting points are still a bit vague and do not have sufficient strength to support the main points.  There were many word choice issues as well as errors in punctuation and grammar.",//
Some people are always in a hurry to go places and get things done. Other people prefer to take their time and live life at a slower pace. Which do you prefer? Use specific reasons and examples to support your answer.,::,"<IN><TS>""Hurry up! Hurry up, please!!"" This sentence is sometimes famous and becomes social issue in Korea. What do you think so? I always remind myself of slow pace and surplus. These conditions help us in a daily life. Two reasons are listed by the following paragraph.</TS></IN>

<BO1><MI1>If you do somthing in a hurry, like preparing a presentation or studying an exam, you may be hurry up.</MI1> <SI1><TR>However</TR>, your working is clumsy, and you are so embarrased. In this case, I always think ""Slow is the best."" If I must do something in a hurry, at first, I effort to become pacify ,and then I think my duties slowly and deliberately. What I couldn't think because of embarrasing is realized. Moreover, I can think better solutions or ways than when I was upset. ""Don't hurry and become pacify"" is my first advocacy.</SI1></BO1>

<BO2><MI2><TR>In the present</TR>, because of developing many technology, a lot of things are much faster than past.</MI2> <SI2><TR> So</TR>, many people want that allthings become faster and faster. If poeple don't have much time, they feel angry, impolite and upset. People anger their around people in that they lay in shortage of times. However, more think, people are not worried about a shortage of times. If they think different way, like the fact that they have much time even though not having much time, they are more lavish in the life.</SI2></BO2>

<CO><TR>Now, we find two fortes. Surplus in a life is more important than any other thing. Surplus make our life lavish and happy. As the saying goes, ""If you are in a hurry, you circumvent</CO>",::,4,::,2,::,4,::,4,::,4,::,4,::,3,::,4,::,3,::,This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis is fragmented and separated throughout the introduction and does not constitute a statement. There is an adequate number of transitions in this essay though not optimal. Either too many or too few transitions can get in the way or otherwise detract from the reading of this essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There are  very few examples in this essay. The supporting points are still a bit vague and do not have sufficient strength to support the main points.  There were many word choice issues as well as errors in punctuation and grammar.,//
How do movies or television influence people’s behavior? Use reasons and specific examples to support your answer.,::,"<IN><TS>""Television is an idiot box."" It is a widely known fact. <TR>However</TR>, most people cannot stop watching TV. The reason is that it also includes positive effects although someone is addicted by it. In other words, it has both positive side and negative side.</TS></IN>

<BO1><MI1><TR>In the one hand</TR>, television provides us with a great variety of information.</MI1> <SI1><TR>For instance</TR>, Headline News is updated everyday. Watching it, we catch what we need. Though we gain news from newspapers, TV is more effective to know it exactly like the proverb ‘Seeing is believing’. This summer, it rained cats and dogs, so there was fIood in some areas. We felt problems of sufferers from the flood vividly as watching disaster situation. There was a poll, ‘which mass media is the most credible?’ TV was the first credible one.</SI1></BO1>

<BO2><MI2><TR>In addition</TR>, we have a great indirect experience through just watching TV at home.</MI2> <SI2>If we long for seeing Europe, we can also see it. People who have never been to abroad even know what other countries look like. <TR>Besides</TR>, we recognize how people in different classes live. After acknowledging it, some people help the poor abate their pains as contributing money or others to them.</SI2></BO2>

<BO3><MI3><TR>Otherwise</TR>, it makes side effects.</MI3> <SI3>Some experts say that one of the most important factors of increasing juvenile crime is TV. <TR>In fact</TR>, some adolescents imitated to commit crimes through TV. Last winter, a high school student blew grenade out in a public place. <TR>Consequently</TR>, one person who passed there got hurt severely. The youth stated that he just wanted to experiment the same way that he watched on TV. <TR>Yet</TR>, TV is not responsible for his crime perfectly. His parents should have controlled him.</SI3></BO3>

<CO><TR>Like the common fact that ‘TV is harmful for us’, it may cause bad effects if we use it in wrong ways. <TR>Nevertheless</TR>, it is the one of the most useful invents because we obtain benefits as using it effectively. <TR>Therefore</TR>, the effect of it is up to attitudes of its viewers.</CO>",::,3,::,2,::,4,::,4,::,5,::,3,::,3,::,4,::,3,::,This is a below average quality essay. There is minimal structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis is fragmented and separated throughout the introduction and does not constitute a statement. There is an optimal amout of transitionary words in this essay helping with the flow and reading of the essay. The main ideas in the body paragraphs are still a bit vague and do not have sufficient strength to support the thesis.  There are  very few examples in this essay. The supporting points are still a bit vague and do not have sufficient strength to support the main points.  There were many word choice issues as well as errors in punctuation and grammar.,//
